ID,Tank Failure Pressure (bar),Liquid Ratio,Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3203.0,14.26,0.25,1.58,8.61,1.79,1.01,1.4,457.14,423.07,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,18.0,2.0,19.75,5.7,3.1,0.5882985
3204.0,14.14,0.25,1.59,8.58,1.81,1.0,1.41,457.71,422.82,19.0,11.0,5.0,0.4,1.0,superheated,37.9,-1.0,152.0,19.0,3.0,20.0,-5.15,-1.5,0.55152422
3205.0,14.05,0.24,1.62,8.59,1.79,0.98,1.38,456.58,422.37,19.0,11.0,5.0,0.4,1.0,superheated,37.9,-1.0,152.0,20.0,3.0,20.0,-5.15,0.8,0.55081338
3206.0,14.17,0.24,1.59,8.6,1.8,0.98,1.4,456.81,423.28,19.0,11.0,5.0,0.42,1.0,superheated,37.9,-1.0,152.0,21.0,3.0,20.0,-5.15,3.1,0.52890617
3207.0,14.09,0.24,1.59,8.6,1.8,1.0,1.4,456.93,423.19,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,22.0,4.0,20.0,-4.9,3.4,0.45436269
3208.0,14.22,0.25,1.62,8.59,1.82,1.01,1.4,457.58,422.58,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,23.0,4.0,20.0,0.4,3.4,0.29113069
3209.0,14.24,0.25,1.6,8.62,1.81,0.98,1.4,457.76,422.29,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,24.0,4.0,20.0,5.7,3.4,0.27694437
3210.0,14.06,0.25,1.59,8.59,1.81,1.0,1.39,457.11,422.47,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,25.0,5.0,20.0,5.95,-1.5,0.25718641
3211.0,14.11,0.25,1.6,8.62,1.8,1.01,1.4,456.22,422.64,19.0,11.0,5.0,0.4,1.0,superheated,37.9,-1.0,152.0,26.0,5.0,20.0,5.95,0.8,0.25760314
3212.0,14.04,0.24,1.61,8.61,1.82,1.01,1.39,457.14,422.54,19.0,11.0,5.0,0.39,1.0,superheated,37.9,-1.0,152.0,27.0,5.0,20.0,5.95,3.1,0.25700495
